"RECORD #(BIBLIO)"	"UPDATED(BIBLIO)"	"245"	"246"	"530"	"538"	"590"	"690"	"856"
"b16750974"	"06-20-2008"	"PubMed [electronic resource] / NCBI, National Library of Medicine"	"Pub Med"|"Title on title bar: Entrez-PubMed"	""	"Available via Internet, http://www.ncbi.nlm.nih.gov/sites/entrez?otool=coloralib"	"PubMed, a service of the National Library of Medicine, includes over 14 million citations for biomedical articles back to the 1950's. It is the public version of Medline and links to many sites providing full text articles and other related resources. Coverage: varies"	"Biology"|"Government information"|"Health and medicine"|"Natural sciences"|"Psychology"|"Sport science"	"View online http://www.ncbi.nlm.nih.gov/sites/entrez?otool=coloralib"|"View online - PURL http://purl.access.gpo.gov/GPO/LPS4708"
"b16764808"	"05-19-2010"	"Bibliography of the history of art [electronic resource] : international bibliography of art"	"BHA"	"Issued also in print and CD-ROM versions"	"Available via Internet, http://library.getty.edu/bha"	"Covers Western art from Antiquity to the present. Indexes more sources than Art Abstracts, but does not cover Asian art, and does not have full text articles. No longer updated. Coverage: 1973 - 2010"	"Art"	"View online http://library.getty.edu/bha"
"b16778297"	"01-16-2008"	"Humanities international complete [electronic resource]"	""	""	"Available via Internet, http://search.epnet.com/login.asp?profile=web&defaultdb=hlh"	"A comprehensive humanities database, with almost 500 full text titles and indexing and abstracting for more than 1,700 titles. Subject areas include (but are not limited to) literature, philosophy, the arts, history, culture-oriented and multi-disciplinary humanities titles with some coverage going back as far as 1929. This database replaces Humanities Abstracts. Coverage: 1929 - current"	"Anthropology"|"Art"|"Chinese language and literature"|"Classics"|"Communication"|"Comparative literature"|"Drama and Dance"|"English language and literature"|"Film"|"French language and literature"|"German language and literature"|"History"|"Italian language and literature"|"Japanese language and literature"|"Music"|"Philosophy"|"Religion"|"Russian language and literature"|"Russian and Eurasian studies"|"Spanish language and literature"	"View online http://0-search.epnet.com.tiger.coloradocollege.edu/login.asp?profile=web&defaultdb=hlh"
"b16807893"	"10-21-2011"	"Web of science [electronic resource]"	"At head of title: ISI web of knowledge"|"Previously known as: Institute for Scientific Information web of science"|"Colorado College: Social sciences citation index"|"Colorado College: Arts & humanities citation index"|"Colorado College: Science citation index expanded"	""	"Available via Internet, http://apps.webofknowledge.com"	"Citation-based searching in all disciplines. Includes Science Citation Index (1900-present), Social Sciences Citation Index (1900-present), and Arts & Humanities Citation Index (1975-present). Web of Science differs from Web of Knowledge by focusing on these three indexes. Coverage: 1900 - current"	"Agriculture and forestry"|"Anthropology"|"Biology"|"Computer science"|"Economics and business"|"Education"|"Environmental sciences"|"Geology"|"Health and medicine"|"History"|"Mathematics"|"Natural sciences"|"Physics"|"Political science"|"Psychology"|"Chemistry"	"View online http://apps.webofknowledge.com/WOS_GeneralSearch_input.do?highlighted_tab=WOS&product=WOS&last_prod=WOS&search_mode=GeneralSearch"
"b16832590"	"10-21-2011"	"Historical statistics of the United States : earliest times to the present / Susan B. Carter ... [et al.]"	"Historical statistics of the United States"|"Historical statistics of the United States millennial edition"	"Available via Internet, http://hsus.cambridge.org/HSUSWeb/HSUSEntryServlet"	""	"Annual time series of the U.S. population, economic indicators, social conditions, and government. From colonial times to the present. Coverage: 1600s - current"	"Economics and business"|"Government information"|"History"|"Sociology"	"View online version http://0-hsus.cambridge.org.tiger.coloradocollege.edu/HSUSWeb/HSUSEntryServlet"
"b16840409"	"08-01-2012"	"Proquest Historical Newspapers Atlanta Constitution [electronic resource]"	"Historical Atlanta Constitution"|"News -- the Historical Atlanta Constitution"|"Colorado College: Atlanta Constitution (Historical)"	"Also issued in print and in microform"	"Available via Internet,  http://search.proquest.com/hnpatlantaconstitution/advanced?accountid=10222"	" The Atlanta Constitution, historically known as 'the voice of the new south.' Contains first hand accounts of the Reconstruction period and post-war South  to early twentieth century. Full image and full text newspaper articles. (Lexis-Nexis provides text coverage from 1991-present.) Coverage: 1868 - 1945"	"History"	"View online - Proquest Database http://0-search.proquest.com.tiger.coloradocollege.edu/hnpatlantaconstitution/advanced?accountid=10222"
"b16840410"	"08-01-2012"	"Historical Chicago Tribune [electronic resource]"	"ProQuest Historical Newspapers Chicago Tribune"|"News -- the historical Chicago Tribune"|"Chicago Tribune"|"Colorado College: Chicago Tribune (Historical)"	"Also issued in print, on microfilm, on CD-ROM, and as an online database"	"Available via Internet, http://search.proquest.com/hnpchicagotribune/advanced?accountid=10222"	"One of the oldest continuously published newspapers in the United States. Historical coverage of prohibition debates, mercantile development of the midwest, westward expansion, Settlement House Movement - Jane Addams, Al Capone, and more. Full image and full text newspaper articles. (Lexis-Nexis provides current text coverage from March 1, 2002-present.) Coverage: 1849 - 1988."	"History"	"View online - Proquest Database http://0-search.proquest.com.tiger.coloradocollege.edu/hnpchicagotribune/advanced?accountid=10222"
"b16840422"	"07-07-2011"	"Film & television literature index [electronic resource]"	"Film and television literature index"|"FTLI"|"CASC"	"New and expanded online version of the print title: Film literature index"	"Available via Internet, http://search.ebscohost.com/login.asp?profile=web&defaultdb=fah"	"Indexes journals covering all areas of film and television, from reviews to film & TV theory to more technical aspects. Coverage:  1980s - current"	"Film"|"Television"	"View online - EBSCO http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.asp?profile=web&defaultdb=fah"
"b1685875x"	"02-08-2013"	"Chicano database [electronic resource]"	"HTML source title: RLG's Eureka"	"Portions of the Chicano Database are available in print format as: the Chicano Periodical Index, covering 1967-1988; the Chicano Index, covering 1989-1993; Arte Chicano : an Annotated Bibliography of Chicano Art, 1965-1981; the Chicano Anthology Index; the Chicana Studies Index : Twenty Years of Gender Research, 1981-1991; and Hispanic Mental Health Research : A Reference Guide, covering 1920-1980"	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=chd"	"Interdisciplinary database, indexing all types of materials for Chicano studies (journal articles, books, chapters, and newspaper articles). Coverage: 1960s - current"	"Race and Ethnic Studies"|"English language and literature"|"Southwest studies"|"Spanish language and literature"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=chd"
"b16858761"	"12-04-2009"	"Vault online career library [electronic resource]"	"Online career library"	""	"Available via Internet, http://careerinsider.vault.com/wps/portal/careerinsider?parrefer=2371"	"Guidebooks to various aspects of your job search, to different industries, and some major companies. Includes downloadable PDF files of Vault print guides. Coverage: current"	""	"View online http://0-careerinsider.vault.com.tiger.coloradocollege.edu/wps/portal/careerinsider?parrefer=2371"
"b16891867"	"03-20-2012"	"MedlinePlus [electronic resource] : trusted health information for you"	"Medline plus"|"Colorado College: PubMed"|"Title on HTML header: National Library of Medicine's MEDLINEplus <July 8, 1999->"|"Title on HTML header: MEDLINEplus health information from the National Library of Medicine <June 21, 2004->"	"Issued also as a CD-ROM"	"Mode of access: Internet from the NLM web site. Address as of 8/7/03: http://medlineplus.gov/; current access is available via PURL"	"MedlinePlus is the National Institute of Health's consumer health website. Reliable, up-to-date information on diseases, conditions and wellness issues."	"Government information"	"View online http://purl.access.gpo.gov/GPO/LPS34458"
"b16933096"	"08-25-2008"	"NASA Technical Reports Server (NTRS) [electronic resource]"	"NTRS"	""	"Mode of access: Internet from the NTRS NASA web site. Address as of 12/6/06: http://ntrs.nasa.gov/search.jsp; current access is available via PURL"	"Current and historical technical literature back to 1994; aerospace and engineering related citations, online documents, images and videos"	"Government information"	"View online http://purl.access.gpo.gov/GPO/LPS76746"
"b16942309"	"09-28-2012"	"Gender studies database [electronic resource]"	"GSD"	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=fmh"	"Combines the Women's Studies International and Men's Studies databases with sexual diversity issues and gender-engaged scholarship. Source documents include professional journals, conference papers, books, book chapters, government reports, discussion and working papers, theses & dissertations, and freely available full text articles & documents on the Web. Coverage: pre-1972 - current"	"Feminist and gender studies"|"Sociology"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=fmh"
"b16946005"	"03-19-2009"	"Gale Virtual Reference Library [electronic resource]"	"Thomson Gale Vitrual Reference Library"	""	"Available via Internet, http://find.galegroup.com/gvrl/start.do?prodId=GVRL&userGroupName=colorado"	"Includes hundreds of specialized reference books on a variety of subjects. The contents are all available full text. Covers a wide variety of subject areas in the humanities, social sciences and sciences. Coverage: varies"	""	"View online http://0-find.galegroup.com.tiger.coloradocollege.edu/gvrl/start.do?prodId=GVRL&userGroupName=colorado"
"b16949407"	"09-29-2009"	"Contemporary authors [electronic resource]"	"Contemporary authors a bio-bibliographical guide to current writers in fiction, general nonfiction, poetry, journalism, drama, motion pictures, television and other fields"	""	"Available via Internet, http://galenet.galegroup.com/servlet/GLD/form?1=2&l=2&locID=colorado"	"A bio-bibliographical guide to current writers in Nonfictions, etc. Complete biographical and references for more than 90,000 authors in the U.S. Coverage: current"	"Chinese language and literature"|"Comparative literature"|"English language and literature"|"French language and literature"|"German language and literature"|"Italian language and literature"|"Japanese language and literature"|"Russian language and literature"|"Russian and Eurasian studies"|"Spanish language and literature"	"View online http://0-galenet.galegroup.com.tiger.coloradocollege.edu/servlet/GLD/form?1=2&l=2&locID=colorado"
"b16977518"	"06-15-2011"	"Ethnic television network"	""	""	"Available via Internet, http://www.etvnet.ca/"	"Comprehensive current television content in Russian via the Internet. Includes all main Russian channels with archives. Includes thousands of Russian films. (See reference librarian for username and password.) Coverage: N/A"	"Film"|"Russian language and literature"|"Russian and Eurasian studies"|"Television"	"View online http://www.etvnet.ca/"
"b16993755"	"11-06-2009"	"Encyclopedia of pain / [edited by Robert  F. Schmidt, William D. Willis]"	""	"Available via Internet, http://www.springerlink.com/content/n85217/"	""	"A guide to the understanding of the broad, multi-faceted and complex topic of pain. Coverage: N/A"	"Biology"|"Natural sciences"|"Psychology"	"View online http://0-www.springerlink.com.tiger.coloradocollege.edu/content/n85217/"
"b17007811"	"08-25-2008"	"MapStats, United States [electronic resource]"	"Map Stats"|"HTLM header title: FedStats, mapStats"	""	"Mode of access: Internet at the FedStats web site. Address as  of 4/26/07: http://www.fedstats.gov/qf/; current access is available via PURL"	"Part of the FedStats site, uses maps to navigate"	"Government information"	"View online http://purl.access.gpo.gov/GPO/LPS80974"
"b17021418"	"07-07-2011"	"Morningstar.com [electronic resource]"	"HTML header title: Morningstar library edition"	""	"Available via Internet, http://library.morningstar.com/"	"Up-to-date prices for stocks, mutual funds, and ETFs (exchange traded funds). Analyst reports.  Morningstar's strength lies in its analysis of mutual funds. The  Portfolio X-Ray tool lets you  choose a group of stocks and funds to judge the balance of investments in a portfolio. Coverage: current"	"Economics and business"	"View online http://0-library.morningstar.com.tiger.coloradocollege.edu/"
"b17039927"	"08-13-2008"	"AnthroSource [electronic resource] / a service of the American Anthropological Association in partnership with University of California Press"	"Navigation bar title: AS anthrosource"|"Anthro source"	""	"Available via Internet, http://www.anthrosource.net/"	"AnthroSource is an online resource for core journals in the field of anthropology, developed by the American Anthropological Association (AAA). One may access complete archives of all AAA journals and current issues of 11 of the AAA's most popular journals, including American Anthropologist, Cultural Anthropology and American Ethnologist. Coverage: 1888 -"	"Anthropology"	"View online http://0-www.anthrosource.net.tiger.coloradocollege.edu/"
"b17051629"	"04-22-2008"	"Colorado economic and demographic information system [electronic resource] / Colorado Demography Section"	""	""	"Available via Internet, http://www.dola.state.co.us/is/cedishom.htm"	"CEDIS (Colorado Economic and Demographic Information System) provides detailed local and state level economic and demographic information. Coverage: varies, 1980's - current"	"Government information"|"Sociology"|"Southwest studies"	"View online http://www.dola.state.co.us/is/cedishom.htm"
"b17051708"	"11-06-2009"	"Early American imprints. Series I, Evans (1639-1800) [electronic resource]"	"Series I, Evans (1639-1800)"|"Evans (1639-1800)"|"Colorado College: Evans (1639-1800)"	""	"Available via Internet, http://infoweb.newsbank.com/?db=EVAN&amp;s_startsearch=customized"	"Full text of almost every book and pamphlet printed in North America from 1639 to 1800. Not yet complete. Coverage: 1639 - 1800"	"Race and Ethnic Studies"|"English language and literature"|"History"|"North American studies"	"View online http://0-infoweb.newsbank.com.tiger.coloradocollege.edu/?db=EVAN&amp;s_startsearch=customized"
"b17051782"	"11-06-2009"	"Early American imprints. Series II, Shaw-Shoemaker (1801-1819) [electronic resource]"	"Series II, Shaw-Shoemaker (1801-1819)"|"Shaw-Shoemaker (1801-1819)"|"Colorado College: Shaw-Shoemaker (1801-1819)"	""	"Available via Internet, http://infoweb.newsbank.com/?db=SHAW&amp;s_startsearch=customized"	"Full text of almost every book and pamphlet printed in North America from 1801 to 1819. Not yet complete. Coverage: 1801 - 1819"	"Race and Ethnic Studies"|"English language and literature"|"History"|"North American studies"	"View online http://0-infoweb.newsbank.com.tiger.coloradocollege.edu/?db=SHAW&amp;s_startsearch=customized"
"b17051848"	"03-19-2009"	"Going global [electronic resource] / Going Gobal Inc"	"Goinglobal"	"Modified free site also available"	"Available via Internet, http://online.goinglobal.com/guides.aspx"	"Covers over 20 countries worldwide. Describes working environment, resume requirements, employment trends, cost of living, cultural factors, and much more. Coverage: current"	""	"View online http://0-online.goinglobal.com.tiger.coloradocollege.edu/guides.aspx"
"b1705185x"	"08-26-2008"	"Google scholar [electronic resource]"	""	""	"Available via Internet, http://www.scholar.google.com/"	"Retrieves citations to a wide variety of research papers, thesis, books, preprints, abstracts and technical reports. Check for possible full text by using Colorado College Links or Colorado College e-texts buttons next to the citations. Coverage: N/A"	"All subjects"	"View online http://0-www.scholar.google.com.tiger.coloradocollege.edu/"
"b17051861"	"10-20-2009"	"Historical newspapers (Proquest)"	""	""	"Available via Internet, http://proquest.umi.com/login?COPT=REJTPTM2ZmIrMWFjZCZJTlQ9MCZWRVI9Mg==&amp;clientId=52334"	"Provides complete, full-image access to historical articles from the Atlanta Constitution, Chicago Tribune, Los Angeles Times from 1881 and the New York Times from 1851. For current online articles use Lexis-Nexis Academic Universe. Coverage: 1800's -"	""	"View online http://0-proquest.umi.com.tiger.coloradocollege.edu/login?COPT=REJTPTM2ZmIrMWFjZCZJTlQ9MCZWRVI9Mg==&amp;clientId=52334"
"b17051885"	"10-20-2009"	"K-12 resources (Ebsco)"	""	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=k12"	"Resource package developed by EBSCO for elementary and secondary schools containing full text resources including a Funk & Wagnalls Encyclopedia, an animal database, and periodical databases aimed at children and young adults (Primary Search, Middle Search Plus, and MAS Ultra - School Edition). Coverage: 1984 - current"	"Education"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=k12"
"b17051903"	"01-10-2013"	"The database of recorded American music [electronic resource]"	"DRAM"	""	"Available via Internet, http://beta.dramonline.org/"|"System requirements: RealPlayer, free download available"	"Provides streamed audio recordings of over 1,500 CDs (9,800 compositions).  Basic collection includes the diverse catalogue of American music recordings by New World Records-- from folk to opera, Native American to jazz, 19th century classical to early rock, musical theater, contemporary, electronic and beyond. Includes liner notes and essays. Currently available via on-campus access only. Coverage: N/A"	"Music"	"View online http://beta.dramonline.org/"
"b17052452"	"01-16-2008"	"Literary index [electronic resource] / Gale Group"	"Title from HTML source code: Literary index home page"|"Gale's literary index"	""	"Available via Internet, http://www.galenet.com/servlet/LitIndex"	"Master index to every literary series published by Gale Research Inc. Combines and cross-references author names, including pseudonyms and variant names, and titles into one source. Coverage: current"	"Chinese language and literature"|"Comparative literature"|"English language and literature"|"French language and literature"|"German language and literature"|"Italian language and literature"|"Japanese language and literature"|"Russian language and literature"|"Russian and Eurasian studies"|"Spanish language and literature"	"View online http://0-www.galenet.com.tiger.coloradocollege.edu/servlet/LitIndex"
"b17052464"	"04-21-2011"	"Feminae [electronic resource] : medieval women and gender index / editor, Margaret Schaus"	"Medieval women and gender index"|"Colorado College: Medieval feminist index (Feminae)"	""	"Available via Internet, http://inpress.lib.uiowa.edu/feminae/Default.aspx"	"The Medieval Feminist Index covers journal articles, book reviews, and essays in books about women, sexuality, and gender during the Middle Ages. Coverage: works published 1990 - current"	""	"View online http://inpress.lib.uiowa.edu/feminae/Default.aspx"
"b17052476"	"04-22-2011"	"Prospector - Colorado unified catalog"	""	""	"Available via Internet, http://prospector.coalliance.org/"	"Combined catalog of academic and public libraries, mostly in Colorado. Initiate borrowing requests online and receive materials at the Circulation desk. Coverage: historical - current"	""	"View online http://prospector.coalliance.org/"
"b1705249x"	"10-20-2009"	"RefWorks"	""	""	"Available via Internet, http://www.refworks.com/refworks"	"Create your own database to store citations to books, articles, etc. from Tiger, Prospector, and library databases. Use these citations to automatically create footnotes and bibliographies in the proper format. Requires registration. See RefWorks Tutorial and RefWorks Help and the CC RefWorks FAQ. Coverage: N/A"	""	"View online http://www.refworks.com/refworks"
"b17056780"	"10-21-2011"	"Middle English dictionary / Hans Kurath, editor ; Sherman M. Kuhn, associate editor"	""	"Available via Internet, http://ets.umdl.umich.edu/m/med/"	""	"This electronic version of the MED preserves all the details of the print MED (available in Tutt Library ), but goes far beyond this, by converting its contents into an enormous database, searchable in ways impossible within any print dictionary. Coverage: N/A"	"English language and literature"	"View online version http://ets.umdl.umich.edu/m/med/"
"b17065392"	"05-24-2011"	"African women bibliographic database [electronic resource]"	"AfricaBib.org"	""	"Available via Internet, http://www.africabib.org/women.html"	"Indexes English language materials: books and government documents; articles in edited books; periodical and journal articles; theses and dissertations; conference papers; videocassettes. Some full text. Coverage: 1986 - current"	"Africa"|"Feminist and gender studies"	"View online http://www.africabib.org/women.html"
"b17065409"	"01-16-2008"	"Bibliography of Africana periodical literature database [electronic resource]"	"AfricaBib.org"	""	"Available via Internet, http://www.africabib.org/africa.html"	"Indexes English language articles from journals and periodicals that specialize in African Studies or consistently cover the African continent. Includes full text from 10 electronic journals. Coverage: 1830 - current"	"Africa"	"View online http://www.africabib.org/africa.html"
"b17070247"	"04-19-2012"	"Grove music online [electronic resource]"	"Grovemusic"	""	"Available via Internet, http://www.oxfordmusiconline.com/"	"A large collection of music reference information, encompassing The New Grove Dictionary of Music and Musicians, The New Grove Dictionary of Opera, and The New Grove Dictionary of Jazz, as well as numerous subsequent updates and emendations. Grove is now a part of Oxford Music Online (OMO), and this resource includes The Oxford Companion to Music and The Oxford Dictionary of Music. The following works will become available as content is published: The Grove Dictionary of American Music, the Grove Dictionary of Musical Instruments. Where content overlaps, entries from the Oxford Dictionary of National Biography are available."	"Music"	"http://0-www.oxfordmusiconline.com.tiger.coloradocollege.edu/ View online"
"b17092164"	"03-20-2012"	"Facts on file world news digest [electronic resource] : U.S. and world news : 1940-present"	"U.S. and world news: 1940-present"|"Colorado College: World news digest (Facts on file)"	""	"Available via Internet, http://www.2facts.com/"	"Covers the essentials of domestic and world news, from politics and business to sports and culture. Contains the full text of national, international, and regional news, newswires, transcripts, magazine articles, legal and business information, and public opinion polls back to 1940. Coverage: 1940 -"	"Politics"	"View online http://0-www.2facts.com.tiger.coloradocollege.edu/"
"b17094045"	"08-24-2011"	"Web of knowledge [electronic resource]"	"Also known as: ISI web of knowledge"|"Institute for Scientific information web of knowledge"|"Institute for Scientific information citation databases"	"Also issued in print and CD-ROM versions of several separate ISI indexes: ISI Web of Science: Science Citation Index Expanded, Social Science Citation Index, and Arts & Humanities Citation Index; ISI Current Contents Connect; ISI Chemistry: ISI Proceedings, Derwent Innovations Index (patents); ISI Journal Citation Reports, and ISI Essential Science Indicators"	"Available via Internet, http://apps.webofknowledge.com"	"Citation-based searching in all disciplines. Includes Science Citation Index (1900-present), Social Sciences Citation Index (1900-present), and Arts & Humanities Citation Index (1975-present).  Web of Knowledge differs from Web of Science by including other databases such as Medline. Coverage: 1900 - current"	"Agriculture and forestry"|"Anthropology"|"Biology"|"Chemistry"|"Computer science"|"Economics and business"|"Education"|"Environmental sciences"|"Geology"|"Health and medicine"|"History"|"Mathematics"|"Natural sciences"|"Physics"|"Political science"|"Psychology"	"View online http://0-apps.webofknowledge.com.tiger.coloradocollege.edu/"
"b17112096"	"08-01-2012"	"Index Islamicus [electronic resource]"	"HTML title: Cambridge Scientific Abstracts Internet Database service"	"Also issued in print and CD-ROM versions"	"Available via Internet,http://search.proquest.com/indexislamicus/advanced?accountid=10222"	"Indexes books, journal articles, conference proceedings about Islam, the Middle East and the Muslim world. Includes the other main Muslim areas of Asia and Africa, plus Muslim minorities elsewhere. Coverage: 1906 - current"	"Africa"|"Anthropology"|"Archaeology"|"Art"|"Asian studies"|"History"|"Political science"|"Religion"	"View online http://0-search.proquest.com.tiger.coloradocollege.edu/indexislamicus/advanced?accountid=10222"
"b17136507"	"09-20-2012"	"Who's who on the web [electronic resource]"	"Also known as: Who's who online"|"Colorado College: Marquis who's who on the web"	"Also available in print and CD-ROM editions"	"Available via Internet,  http://search.marquiswhoswho.com/search"	"Includes biographical information for over 1.3 million people, searchable by a variety of criteria. Coverage: varies"	""	"View online http://0-search.marquiswhoswho.com.tiger.coloradocollege.edu/search"
"b17138462"	"01-24-2012"	"OECD iLibrary [electronic resource]"	"Source OECD"	""	"Available via Internet, http://www.oecd-ilibrary.org/"	"Books, journals, working papers, statistics, and glossaries published by the OECD (Organisation for Economic Co-operation and Development).  Users can search by country, theme, date, content type, and more.  The OECD FactBook is available from 2005 to current, with data tables and graphs that can be exported to Excel.  This database was formerly known as SourceOECD.  Coverage: 1967 -  current"	"Economics and business"|"Government information"|"Political science"	"View online http://0-www.oecd-ilibrary.org.tiger.coloradocollege.edu/"
"b17142751"	"03-25-2008"	"Children's literature review [electronic resource]"	""	"Also issued in print"	"Available via Internet, http://galenet.galegroup.com/servlet/LitCrit?locID=colorado"	"Online, full-text literary criticism, anthologized and excerpted from books and journal articles. Criticism of classic to modern children's authors. Part of Literature Critcism Online"	"English language and literature"|"Comparative literature"|"Education"	"View online http://0-galenet.galegroup.com.tiger.coloradocollege.edu/servlet/LitCrit?locID=colorado"
"b17142763"	"03-25-2008"	"Classical and medieval literature criticism [electronic resource]"	"CMLC"	"Also issued in print"	"Available via Internet, http://galenet.galegroup.com/servlet/LitCrit?locID=colorado"	"Online, full-text literary criticism, anthologized and excerpted from books and journal articles. Early to present-day criticism of early literature, philosophy, and other works. Part of Literature Criticism Online"	"English language and literature"|"Comparative literature"	"View online http://0-galenet.galegroup.com.tiger.coloradocollege.edu/servlet/LitCrit?locID=colorado"
"b17142775"	"03-25-2008"	"Contemporary literary criticism [electronic resource]"	"C.L.C"|"CLC"|"One issue each year called: Contemporary literary criticism yearbook 1984-"	"Also issued in print"	"Available via Internet, http://galenet.galegroup.com/servlet/LitCrit?locID=colorado"	"Online, full-text literary criticism, anthologized and excerpted from books and journal articles. Criticism of living authors, or authors who died since 1960. Part of Literature Criticism Online"	"English language and literature"|"Comparative literature"	"View online http://0-galenet.galegroup.com.tiger.coloradocollege.edu/servlet/LitCrit?locID=colorado"
"b1714291x"	"03-25-2008"	"Drama criticism [electronic resource]"	""	"Also issued in print"	"Available via Internet, http://galenet.galegroup.com/servlet/LitCrit?locID=colorado"	"Online, full-text literary criticism, anthologized and excerpted from books and journal articles. A full range of criticism on each playwright included. Part of Literature Criticism Online"	"English language and literature"|"Comparative literature"|"Drama and Dance"	"View online http://0-galenet.galegroup.com.tiger.coloradocollege.edu/servlet/LitCrit?locID=colorado"
"b17142921"	"03-25-2008"	"Literature criticism from 1400 to 1800 [electronic resource]"	"Literature criticism from fourteen hundred to eighteen hundred"|"Literature criticism 1400 to 1800"|"Literature criticism 1400 - 1800"|"Literature criticism from 1400 - 1800"|"LC"	"Also issued in print"	"Available via Internet, http://galenet.galegroup.com/servlet/LitCrit?locID=colorado"	"Online, full-text literary criticism, anthologized and excerpted from books and journal articles. Criticism of works published from the late Middle Ages through the end of the seventeenth century. Part of Literature Criticism Online"	"English language and literature"|"Comparative literature"	"View online http://0-galenet.galegroup.com.tiger.coloradocollege.edu/servlet/LitCrit?locID=colorado"
"b17142945"	"03-25-2008"	"Nineteenth-century literature criticism [electronic resource]"	"19th century literature criticism"|"Nineteenth century literature criticism"|"N.C.L.C"|"NCLC"	"Also issued in print"	"Available via Internet, http://galenet.galegroup.com/servlet/LitCrit?locID=colorado"	"Online, full-text literary criticism, anthologized and excerpted from books and journal articles. Chronologically-arranged criticism of authors of the nineteenth century. Part of Literature Criticism Online"	"English language and literature"|"Comparative literature"	"View online http://0-galenet.galegroup.com.tiger.coloradocollege.edu/servlet/LitCrit?locID=colorado"
"b17142957"	"03-25-2008"	"Poetry criticism [electronic resource]"	"Also known as: PC"	"Also issued in print"	"Available via Internet, http://galenet.galegroup.com/servlet/LitCrit?locID=colorado"	"Online, full-text literary criticism, anthologized and excerpted from books and journal articles. Biographical sketches and bibliographies of the poets, in addition to a wide selection of criticism. Part of Literature Criticism Online"	"English language and literature"|"Comparative literature"	"View online http://0-galenet.galegroup.com.tiger.coloradocollege.edu/servlet/LitCrit?locID=colorado"
"b17142969"	"03-25-2008"	"Shakespearean criticism [electronic resource]"	"Some issues called: Shakespearean criticism yearbook 1989-1998"	"Also issued in print"	"Available via Internet, http://galenet.galegroup.com/servlet/LitCrit?locID=colorado"	"Online, full-text literary criticism, anthologized and excerpted from books and journal articles. Includes critical interpretations of Shakespeare from the 17th century to the present. Part of Literature Criticism Online"	"English language and literature"|"Comparative literature"	"View online http://0-galenet.galegroup.com.tiger.coloradocollege.edu/servlet/LitCrit?locID=colorado"
"b17142970"	"03-25-2008"	"Short story criticism [electronic resource]"	"SSC"	"Also issued in print"	"Available via Internet, http://galenet.galegroup.com/servlet/LitCrit?locID=colorado"	"Online, full-text literary criticism, anthologized and excerpted from books and journal articles. Historical survey of the critical response to included authors. Part of Literature Criticism Online"	"English language and literature"|"Comparative literature"	"View online http://0-galenet.galegroup.com.tiger.coloradocollege.edu/servlet/LitCrit?locID=colorado"
"b17142994"	"09-30-2008"	"Twentieth-century literary criticism [electronic resource]"	"TCLC <v. 78->"	""	"Available via Internet, http://galenet.galegroup.com/servlet/LitCrit?locID=colorado"	"Online, full-text literary criticism, anthologized and excerpted from books and journal articles. Criticism on major literary and nonfiction writers of the twentieth century. Part of Literature Criticism Online"	"English language and literature"|"Comparative literature"	"View online http://0-galenet.galegroup.com.tiger.coloradocollege.edu/servlet/LitCrit?locID=colorado"
"b17155137"	"11-17-2009"	"International bibliography of theatre & dance with full text [electronic resource]"	"International bibliography of theatre and dance with full text"	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=ibh"	"Our major database for the performing arts. Journal indexing with full text, plus over 100 books in full text. Coverage: 1960s to current"	"Drama and Dance"|"English language and literature"|"Film"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=ibh"
"b17157237"	"07-13-2011"	"Oxford reference online premium [electronic resource]"	"Oxford reference online"	""	"Available via Internet, http://www.oxfordreference.com/"	"Oxford Reference Online brings together language and subject reference works into a single cross-searchable resource.  Includes over 175 fully-indexed, cross-searchable dictionary, language reference, and subject reference works published by Oxford University Press, including titles in the world-renowned Oxford Companions Series"	""	"View online http://0-www.oxfordreference.com.tiger.coloradocollege.edu/"
"b17163584"	"08-02-2012"	"Literature criticism online [electronic resource]"	"Colorado College: Gale literature criticism online"	"Each title also available in print"	"Available via Internet, http://galenet.galegroup.com/servlet/LitCrit?locID=colorado"	"Online, full-text literary criticism, anthologized and excerpted from books and journal articles. Covers literature from the classical era to today in all genres"	"English language and literature"|"Comparative literature"|"Drama and dance"	"View online http://0-galenet.galegroup.com.tiger.coloradocollege.edu/servlet/LitCrit?locID=colorado"
